"","method","calib.method","k","m","b0","bc","bb","zc.star","zb.star","zc.ref","zb.ref","V","Vzeta","muN","minN","sd.w","tail","true.effect.dist","TheoryP","q","TheoryP.ref","TheoryDiff","scen.name","clustered"
"30","bt.smart","DL",10,10,0,0.5,1,0.5,1,2,0,0.64,0,100,50,1,"above","normal",0.05,2.56588290156118,0.0251529532947113,0.0248470467052887,30,FALSE
"31","bt.smart","MR bt both correct",150,75,0,0.5,1,0.5,1,2,0,0.25,0.1875,100,50,1,"above","normal",0.05,2.07242681347574,0.0159822759685785,0.0340177240314215,31,TRUE
"32","bt.smart","MR",150,75,0,0.5,1,0.5,1,2,0,0.25,0.1875,100,50,1,"above","normal",0.05,2.07242681347574,0.0159822759685785,0.0340177240314215,32,TRUE
"33","bt.smart","DL",150,75,0,0.5,1,0.5,1,2,0,0.25,0.1875,100,50,1,"above","normal",0.05,2.07242681347574,0.0159822759685785,0.0340177240314215,33,TRUE
"34","bt.smart","MR bt both correct",100,50,0,0.5,1,0.5,1,2,0,0.25,0.1875,100,50,1,"above","normal",0.05,2.07242681347574,0.0159822759685785,0.0340177240314215,34,TRUE
"35","bt.smart","MR",100,50,0,0.5,1,0.5,1,2,0,0.25,0.1875,100,50,1,"above","normal",0.05,2.07242681347574,0.0159822759685785,0.0340177240314215,35,TRUE
"36","bt.smart","DL",100,50,0,0.5,1,0.5,1,2,0,0.25,0.1875,100,50,1,"above","normal",0.05,2.07242681347574,0.0159822759685785,0.0340177240314215,36,TRUE
"37","bt.smart","MR bt both correct",50,25,0,0.5,1,0.5,1,2,0,0.25,0.1875,100,50,1,"above","normal",0.05,2.07242681347574,0.0159822759685785,0.0340177240314215,37,TRUE
"38","bt.smart","MR",50,25,0,0.5,1,0.5,1,2,0,0.25,0.1875,100,50,1,"above","normal",0.05,2.07242681347574,0.0159822759685785,0.0340177240314215,38,TRUE
"39","bt.smart","DL",50,25,0,0.5,1,0.5,1,2,0,0.25,0.1875,100,50,1,"above","normal",0.05,2.07242681347574,0.0159822759685785,0.0340177240314215,39,TRUE
"40","bt.smart","MR bt both correct",20,10,0,0.5,1,0.5,1,2,0,0.25,0.1875,100,50,1,"above","normal",0.05,2.07242681347574,0.0159822759685785,0.0340177240314215,40,TRUE
"41","bt.smart","MR",20,10,0,0.5,1,0.5,1,2,0,0.25,0.1875,100,50,1,"above","normal",0.05,2.07242681347574,0.0159822759685785,0.0340177240314215,41,TRUE
"42","bt.smart","DL",20,10,0,0.5,1,0.5,1,2,0,0.25,0.1875,100,50,1,"above","normal",0.05,2.07242681347574,0.0159822759685785,0.0340177240314215,42,TRUE
"43","bt.smart","MR bt both correct",10,5,0,0.5,1,0.5,1,2,0,0.25,0.1875,100,50,1,"above","normal",0.05,2.07242681347574,0.0159822759685785,0.0340177240314215,43,TRUE
"44","bt.smart","MR",10,5,0,0.5,1,0.5,1,2,0,0.25,0.1875,100,50,1,"above","normal",0.05,2.07242681347574,0.0159822759685785,0.0340177240314215,44,TRUE
"45","bt.smart","DL",10,5,0,0.5,1,0.5,1,2,0,0.25,0.1875,100,50,1,"above","normal",0.05,2.07242681347574,0.0159822759685785,0.0340177240314215,45,TRUE
"46","bt.smart","MR bt both correct",150,150,0,0.5,1,0.5,1,2,0,0.25,0,100,50,1,"above","normal",0.05,2.07242681347574,0.0159822759685785,0.0340177240314215,46,FALSE
"47","bt.smart","MR",150,150,0,0.5,1,0.5,1,2,0,0.25,0,100,50,1,"above","normal",0.05,2.07242681347574,0.0159822759685785,0.0340177240314215,47,FALSE
"48","bt.smart","DL",150,150,0,0.5,1,0.5,1,2,0,0.25,0,100,50,1,"above","normal",0.05,2.07242681347574,0.0159822759685785,0.0340177240314215,48,FALSE
"49","bt.smart","MR bt both correct",100,100,0,0.5,1,0.5,1,2,0,0.25,0,100,50,1,"above","normal",0.05,2.07242681347574,0.0159822759685785,0.0340177240314215,49,FALSE
"50","bt.smart","MR",100,100,0,0.5,1,0.5,1,2,0,0.25,0,100,50,1,"above","normal",0.05,2.07242681347574,0.0159822759685785,0.0340177240314215,50,FALSE
"51","bt.smart","DL",100,100,0,0.5,1,0.5,1,2,0,0.25,0,100,50,1,"above","normal",0.05,2.07242681347574,0.0159822759685785,0.0340177240314215,51,FALSE
"52","bt.smart","MR bt both correct",50,50,0,0.5,1,0.5,1,2,0,0.25,0,100,50,1,"above","normal",0.05,2.07242681347574,0.0159822759685785,0.0340177240314215,52,FALSE
"53","bt.smart","MR",50,50,0,0.5,1,0.5,1,2,0,0.25,0,100,50,1,"above","normal",0.05,2.07242681347574,0.0159822759685785,0.0340177240314215,53,FALSE
"54","bt.smart","DL",50,50,0,0.5,1,0.5,1,2,0,0.25,0,100,50,1,"above","normal",0.05,2.07242681347574,0.0159822759685785,0.0340177240314215,54,FALSE
"55","bt.smart","MR bt both correct",20,20,0,0.5,1,0.5,1,2,0,0.25,0,100,50,1,"above","normal",0.05,2.07242681347574,0.0159822759685785,0.0340177240314215,55,FALSE
"56","bt.smart","MR",20,20,0,0.5,1,0.5,1,2,0,0.25,0,100,50,1,"above","normal",0.05,2.07242681347574,0.0159822759685785,0.0340177240314215,56,FALSE
"57","bt.smart","DL",20,20,0,0.5,1,0.5,1,2,0,0.25,0,100,50,1,"above","normal",0.05,2.07242681347574,0.0159822759685785,0.0340177240314215,57,FALSE
"58","bt.smart","MR bt both correct",10,10,0,0.5,1,0.5,1,2,0,0.25,0,100,50,1,"above","normal",0.05,2.07242681347574,0.0159822759685785,0.0340177240314215,58,FALSE
"59","bt.smart","MR",10,10,0,0.5,1,0.5,1,2,0,0.25,0,100,50,1,"above","normal",0.05,2.07242681347574,0.0159822759685785,0.0340177240314215,59,FALSE
"60","bt.smart","DL",10,10,0,0.5,1,0.5,1,2,0,0.25,0,100,50,1,"above","normal",0.05,2.07242681347574,0.0159822759685785,0.0340177240314215,60,FALSE
"61","bt.smart","MR bt both correct",150,75,0,0.5,1,0.5,1,2,0,0.04,0.03,100,50,1,"above","normal",0.05,1.57897072539029,0.00189667685547767,0.0481033231445223,61,TRUE
"62","bt.smart","MR",150,75,0,0.5,1,0.5,1,2,0,0.04,0.03,100,50,1,"above","normal",0.05,1.57897072539029,0.00189667685547767,0.0481033231445223,62,TRUE
"63","bt.smart","DL",150,75,0,0.5,1,0.5,1,2,0,0.04,0.03,100,50,1,"above","normal",0.05,1.57897072539029,0.00189667685547767,0.0481033231445223,63,TRUE
"64","bt.smart","MR bt both correct",100,50,0,0.5,1,0.5,1,2,0,0.04,0.03,100,50,1,"above","normal",0.05,1.57897072539029,0.00189667685547767,0.0481033231445223,64,TRUE
"65","bt.smart","MR",100,50,0,0.5,1,0.5,1,2,0,0.04,0.03,100,50,1,"above","normal",0.05,1.57897072539029,0.00189667685547767,0.0481033231445223,65,TRUE
"66","bt.smart","DL",100,50,0,0.5,1,0.5,1,2,0,0.04,0.03,100,50,1,"above","normal",0.05,1.57897072539029,0.00189667685547767,0.0481033231445223,66,TRUE
"67","bt.smart","MR bt both correct",50,25,0,0.5,1,0.5,1,2,0,0.04,0.03,100,50,1,"above","normal",0.05,1.57897072539029,0.00189667685547767,0.0481033231445223,67,TRUE
"68","bt.smart","MR",50,25,0,0.5,1,0.5,1,2,0,0.04,0.03,100,50,1,"above","normal",0.05,1.57897072539029,0.00189667685547767,0.0481033231445223,68,TRUE
"69","bt.smart","DL",50,25,0,0.5,1,0.5,1,2,0,0.04,0.03,100,50,1,"above","normal",0.05,1.57897072539029,0.00189667685547767,0.0481033231445223,69,TRUE
"70","bt.smart","MR bt both correct",20,10,0,0.5,1,0.5,1,2,0,0.04,0.03,100,50,1,"above","normal",0.05,1.57897072539029,0.00189667685547767,0.0481033231445223,70,TRUE
"71","bt.smart","MR",20,10,0,0.5,1,0.5,1,2,0,0.04,0.03,100,50,1,"above","normal",0.05,1.57897072539029,0.00189667685547767,0.0481033231445223,71,TRUE
"72","bt.smart","DL",20,10,0,0.5,1,0.5,1,2,0,0.04,0.03,100,50,1,"above","normal",0.05,1.57897072539029,0.00189667685547767,0.0481033231445223,72,TRUE
"73","bt.smart","MR bt both correct",10,5,0,0.5,1,0.5,1,2,0,0.04,0.03,100,50,1,"above","normal",0.05,1.57897072539029,0.00189667685547767,0.0481033231445223,73,TRUE
"74","bt.smart","MR",10,5,0,0.5,1,0.5,1,2,0,0.04,0.03,100,50,1,"above","normal",0.05,1.57897072539029,0.00189667685547767,0.0481033231445223,74,TRUE
"75","bt.smart","DL",10,5,0,0.5,1,0.5,1,2,0,0.04,0.03,100,50,1,"above","normal",0.05,1.57897072539029,0.00189667685547767,0.0481033231445223,75,TRUE
"76","bt.smart","MR bt both correct",150,150,0,0.5,1,0.5,1,2,0,0.04,0,100,50,1,"above","normal",0.05,1.57897072539029,0.00189667685547767,0.0481033231445223,76,FALSE
"77","bt.smart","MR",150,150,0,0.5,1,0.5,1,2,0,0.04,0,100,50,1,"above","normal",0.05,1.57897072539029,0.00189667685547767,0.0481033231445223,77,FALSE
"78","bt.smart","DL",150,150,0,0.5,1,0.5,1,2,0,0.04,0,100,50,1,"above","normal",0.05,1.57897072539029,0.00189667685547767,0.0481033231445223,78,FALSE
"79","bt.smart","MR bt both correct",100,100,0,0.5,1,0.5,1,2,0,0.04,0,100,50,1,"above","normal",0.05,1.57897072539029,0.00189667685547767,0.0481033231445223,79,FALSE
"80","bt.smart","MR",100,100,0,0.5,1,0.5,1,2,0,0.04,0,100,50,1,"above","normal",0.05,1.57897072539029,0.00189667685547767,0.0481033231445223,80,FALSE
"81","bt.smart","DL",100,100,0,0.5,1,0.5,1,2,0,0.04,0,100,50,1,"above","normal",0.05,1.57897072539029,0.00189667685547767,0.0481033231445223,81,FALSE
"82","bt.smart","MR bt both correct",50,50,0,0.5,1,0.5,1,2,0,0.04,0,100,50,1,"above","normal",0.05,1.57897072539029,0.00189667685547767,0.0481033231445223,82,FALSE
"83","bt.smart","MR",50,50,0,0.5,1,0.5,1,2,0,0.04,0,100,50,1,"above","normal",0.05,1.57897072539029,0.00189667685547767,0.0481033231445223,83,FALSE
"84","bt.smart","DL",50,50,0,0.5,1,0.5,1,2,0,0.04,0,100,50,1,"above","normal",0.05,1.57897072539029,0.00189667685547767,0.0481033231445223,84,FALSE
"85","bt.smart","MR bt both correct",20,20,0,0.5,1,0.5,1,2,0,0.04,0,100,50,1,"above","normal",0.05,1.57897072539029,0.00189667685547767,0.0481033231445223,85,FALSE
"86","bt.smart","MR",20,20,0,0.5,1,0.5,1,2,0,0.04,0,100,50,1,"above","normal",0.05,1.57897072539029,0.00189667685547767,0.0481033231445223,86,FALSE
"87","bt.smart","DL",20,20,0,0.5,1,0.5,1,2,0,0.04,0,100,50,1,"above","normal",0.05,1.57897072539029,0.00189667685547767,0.0481033231445223,87,FALSE
"88","bt.smart","MR bt both correct",10,10,0,0.5,1,0.5,1,2,0,0.04,0,100,50,1,"above","normal",0.05,1.57897072539029,0.00189667685547767,0.0481033231445223,88,FALSE
"89","bt.smart","MR",10,10,0,0.5,1,0.5,1,2,0,0.04,0,100,50,1,"above","normal",0.05,1.57897072539029,0.00189667685547767,0.0481033231445223,89,FALSE
"90","bt.smart","DL",10,10,0,0.5,1,0.5,1,2,0,0.04,0,100,50,1,"above","normal",0.05,1.57897072539029,0.00189667685547767,0.0481033231445223,90,FALSE
"91","bt.smart","MR bt both correct",150,75,0,0.5,1,0.5,1,2,0,0.01,0.0075,100,50,1,"above","normal",0.05,1.41448536269515,1.70015420316583e-05,0.0499829984579683,91,TRUE
"92","bt.smart","MR",150,75,0,0.5,1,0.5,1,2,0,0.01,0.0075,100,50,1,"above","normal",0.05,1.41448536269515,1.70015420316583e-05,0.0499829984579683,92,TRUE
"93","bt.smart","DL",150,75,0,0.5,1,0.5,1,2,0,0.01,0.0075,100,50,1,"above","normal",0.05,1.41448536269515,1.70015420316583e-05,0.0499829984579683,93,TRUE
